,250 scatter peaks interpolated,255 scatter peaks interpolated,260 scatter peaks interpolated,265 scatter peaks interpolated,270 scatter peaks interpolated,275 scatter peaks interpolated,280 scatter peaks interpolated,285 scatter peaks interpolated,290 scatter peaks interpolated,295 scatter peaks interpolated,300 scatter peaks interpolated,305 scatter peaks interpolated,310 scatter peaks interpolated,315 scatter peaks interpolated,320 scatter peaks interpolated,325 scatter peaks interpolated,330 scatter peaks interpolated,335 scatter peaks interpolated,340 scatter peaks interpolated,345 scatter peaks interpolated,350 scatter peaks interpolated,355 scatter peaks interpolated,360 scatter peaks interpolated,365 scatter peaks interpolated,370 scatter peaks interpolated,375 scatter peaks interpolated,380 scatter peaks interpolated,385 scatter peaks interpolated,390 scatter peaks interpolated,395 scatter peaks interpolated,400 scatter peaks interpolated,405 scatter peaks interpolated,410 scatter peaks interpolated,415 scatter peaks interpolated,420 scatter peaks interpolated,425 scatter peaks interpolated,430 scatter peaks interpolated,435 scatter peaks interpolated,440 scatter peaks interpolated,445 scatter peaks interpolated,450 scatter peaks interpolated,
Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,
297.000,9.884,7.834,5.061,4.982,77.947,13.833,3.936,4.910722,1.393769,1.518362,3.147927,2.161185,1.070701,0.867,0.555,1.092,1.406,0.921,0.978,0.715,0.594,1.123,0.53,0.523,0.94,0.857,0.719,0.804,0.812,0.711,0.568,0.632,0.699,0.485,0.713,0.544,0.655,0.751,0.405,0.419,0.488,
298.000,4.83,6.323,5.384,6.698,63.326,21.429,4.441,4.859004,1.703693,1.437585,2.578327,1.900761,1.271078,1.084,0.847,1.379,0.467,0.95,1.119,1.589,1.289,1.092,0.875,0.885,1.027,0.488,0.433,0.623,0.544,0.901,0.629,0.738,0.667,0.295,0.671,0.684,0.411,0.372,0.682,0.659,0.558,
299.000,6.793,6.377,5.104,5.136,45.253,29.944,3.689,4.813,1.588779,1.658405,2.350953,2.342241,1.117064,1.316,0.395,0.904,0.725,1.153,0.957,1.414,0.873,0.597,1.02,0.693,0.777,0.939,0.885,0.695,0.756,0.465,0.849,0.401,0.603,0.429,0.408,0.938,0.497,0.471,0.747,0.645,0.378,
300.000,5.861,4.703,4.263,1.955,28.039,46.2,2.94,4.155,2.097918,2.132299,3.319133,2.790006,1.156172,1.142,1.553,1.236,0.578,1.237,1.315,0.444,0.857,1.251,0.84,0.769,0.677,0.762,0.828,0.722,0.825,0.817,0.847,0.679,0.824,0.525,0.815,0.543,0.629,0.657,0.893,0.597,0.497,
301.000,7.437,5.918,4.425,3.711,17.541,65.59,4.823,2.791,1.424277,0.8707492,2.642811,3.015631,1.131673,1.289,1.029,1.308,0.748,1.029,1.018,1.014,0.894,1.003,0.506,0.737,0.716,0.805,1.138,0.552,0.776,0.812,0.561,0.62,0.55,0.685,0.611,0.76,0.757,0.565,0.544,0.413,0.491,
302.000,6.172,6.893,2.877,3.084,12.274,66.855,5.847,2.431,1.743296,1.256989,2.33544,2.584268,1.586917,1.391908,0.569,0.87,1.224,1.069,1.114,0.515,0.595,1.148,1.274,0.857,0.994,0.72,0.747,0.889,0.615,0.634,0.975,0.444,0.538,0.651,0.673,0.619,0.672,0.546,0.608,0.783,0.704,
303.000,4.713,7.43,5.717,3.211,5.369,63.835,10.72,4.3,2.523209,0.8193179,3.651648,2.702757,1.206767,1.34394,1.048,1.543,0.911,1.013,0.686,1.061,1.248,0.514,0.536,0.652,0.814,0.651,0.463,0.791,0.749,0.648,0.767,1.001,0.307,0.641,0.528,0.558,0.738,0.361,0.542,0.493,0.61,
304.000,4.48,7.228,4.918,4.068,6.649,50.861,16.746,2.189,2.541,2.551036,2.265365,2.532098,1.688283,1.37102,1.089,1.443,0.848,1.264,0.637,0.774,1.047,0.951,0.603,0.829,0.985,0.662,0.477,0.768,1.003,0.788,0.448,0.773,0.681,0.6,0.757,0.902,0.496,0.421,0.564,0.482,0.305,
305.000,4.613,8.23,5.442,6.116,3.086,39.654,26.805,3.572,2.632,3.041197,2.287895,3.020259,1.286168,1.557973,0.64,0.395,0.704,1.085,0.733,1.059,0.873,0.867,0.885,1.055,0.498,0.878,0.889,0.819,0.751,0.539,0.491,0.615,0.338,0.558,0.484,0.764,0.702,0.388,0.756,0.632,0.425,
306.000,6.566,6.786,5.343,4.64,3.074,26.652,43.413,2.025,2.146,1.953734,2.434922,2.84112,1.176701,1.474515,1.281,0.652,1.153,1.164,0.86,0.918,1.199,0.703,0.681,0.711,0.752,0.682,0.743,0.787,0.576,0.964,0.483,0.854,0.561,0.885,0.753,0.532,0.724,0.759,0.554,0.813,0.74,
307.000,3.648,4.829,4.145,3.908,5.002,15.301,56.56,4.286,3.283,2.862649,3.139302,2.915439,1.367006,1.668078,1.427974,0.923,0.848,1.26,0.781,0.576,0.685,0.875,0.834,0.609,0.826,0.915,0.744,0.358,0.455,0.361,0.618,0.414,0.67,0.604,0.567,0.653,0.499,0.628,0.898,0.585,0.601,
